Bench : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v4/mtpt : len : 1000 loops : 1000
1 pathToDir : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v4/mtpt
2 pathToDir : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v4/mtpt
BeforeCat Dir : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v4/mtpt 
File : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v4/mtpt
AfterCat Dir : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v4/mtpt/zzzTempDir 
File : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v4/mtpt/zzzTempFile
MKDIR	RMDIR	CREATE	STAT	CLOSE	UNLINK
1051902	247526	648513	4995	9211	496270	
1148117	1395959	764641	5785	8898	455659	
1094809	367952	642561	4560	8027	423211	
984331	244254	781180	4240	13606	515186	
1028707	271014	570883	4609	8442	346729	
1188060	305839	720654	5252	8747	590040	
1071881	1250106	856625	5055	8873	522813	
1431453	383687	705842	6072	9533	453697	
1203890	276138	722694	4631	21358	458809	
1234879	289743	728377	5243	9224	521597	
1303490	275164	672443	4590	20267	488421	
1289500	1109410	727849	4712	9444	425571	
1146410	290202	747953	5064	11296	663978	
1370016	361527	749816	5211	37529	494749	
1198146	320649	648664	4979	8525	441133	
1208842	290228	787305	4610	9677	510342	
1173487	1130839	716112	4830	7861	418294	
985564	247389	791131	6639	8760	523163	
989094	225440	715347	6202	8863	456211	
1025505	279819	644277	4086	8998	407893	
960781	255585	644253	5476	7125	383721	
964760	321881	644850	4273	7042	362799	
1017368	355043	657421	5415	7737	358583	
1001752	325092	617929	4957	7454	357181	
1058537	317374	677071	3918	6365	407746	
1026760	288209	588975	4098	6774	416255	
1048514	1186913	740881	4898	6703	321157	
959598	262809	566128	5587	7591	436048	
1178117	255170	837874	5013	8672	534968	
1073047	283985	554133	4889	8958	503249	
1046213	269097	654755	4577	8491	385695	
1103447	1513680	713249	6463	10848	510169	
1062858	292544	658698	4944	8957	484545	
1028252	266496	931060	5657	30687	437777	
1192097	287274	945209	5308	9743	416254	
1152079	299787	823424	4935	41990	534593	
1238043	1113589	817526	9218	10389	548740	
1160778	357776	964297	4957	11720	495773	
1238873	331747	789364	5203	10624	519440	
1168579	315310	676961	4386	20590	606011	
1131806	366329	857867	4683	11795	501561	
1190264	1288640	854783	6353	9321	468357	
1337836	400579	722672	4753	8773	455381	
1213010	291457	698606	4564	8967	494465	
1194689	254741	676412	4533	9704	475939	
1246954	286738	611679	4406	33300	562486	
1242825	1630316	782412	5908	8972	435620	
981529	276001	565237	4588	8243	376199	
1012499	238866	654361	4821	24052	526377	
1047663	272559	792764	6369	8963	450177	
1053294	345407	812311	4843	15009	431642	
1136908	1318673	839260	7073	8453	389065	
1079057	303088	702320	4853	11296	396507	
1018628	259498	764377	6571	9692	526996	
1065499	352843	651593	5843	10421	439136	
1272576	349837	913438	4272	8378	471242	
